,0
feat_month_ret,0.010757082095736087
feat_month_vol,0.3111605435029345
feat_month_mdd,-0.09954324576555867
feat_trend_slope,0.06507461762134177
feat_ret_first_half,0.01015293931236737
feat_ret_second_half,-0.00021241800781409903
feat_vol20_chg,8.840432269454397e-05
ctx_yield_curve_end,0.030476190476190403
ctx_yield_curve_chg,-0.00976190476190483
ctx_real_rate_end,-2.477118557524648
ctx_real_rate_chg,0.11753479611372213
ctx_unemployment_change_end,0.0021148110433824806
ctx_unemployment_change_chg,0.0018725552926909927
ctx_pe_ratio_end,1.9706557650662083e-07
ctx_ps_ratio_end,3.456491816870852e-08
ctx_rev_growth_qoq_end,0.041995496087980484
ctx_volume_change_end,0.15776654849147273
