,0
feat_month_ret,0.13968795355485145
feat_month_vol,0.24833614753377542
feat_month_mdd,0.09489850347928759
feat_trend_slope,0.7015381000287058
feat_ret_first_half,0.09989303365145702
feat_ret_second_half,0.09178035814878661
feat_vol20_chg,0.060324487735674254
ctx_yield_curve_end,1.3071760772949261
ctx_yield_curve_chg,0.11833141705835624
ctx_real_rate_end,3.9645705273909844
ctx_real_rate_chg,0.6004140736083887
ctx_unemployment_change_end,0.021653720034469137
ctx_unemployment_change_chg,0.03421443783328688
ctx_pe_ratio_end,5.218253956712167e-07
ctx_ps_ratio_end,4.301429008660783e-08
ctx_rev_growth_qoq_end,0.14041015986852573
ctx_volume_change_end,0.8912605387397713
